Circonscriptions,Population_totale_1941,Canadiens_francais_1941,Population_totale_1951,Canadiens_francais_1951,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Oui,Non
Argenteuil,22964,14343,26192,17193,13563,10376,137,10239,3187,4396,5843
Beauce,55235,54859,62288,61682,27734,20495,133,20362,7239,528,19834
Beauharnois-Laprairie,48270,41129,64203,55442,27611,23862,182,23680,3749,3030,20650
Bellechasse,29909,29671,31703,31506,14514,10341,77,10264,4173,676,9588
Berthier-Maskinongé,39439,38676,44195,43070,20749,16070,112,15958,4679,1179,14779
Bonaventure,44066,35522,47186,38018,19631,13684,96,13588,5947,3296,10292
Brome-Missisquoi,33927,21377,38082,25741,19578,13742,169,13573,5836,5223,8350
Cartier,41375,17931,57975,28041,41486,28875,588,28287,12611,19790,8497
Chambly-Rouville,47720,34517,97989,64650,27701,21512,259,21253,6189,8484,12769
Champlain,42214,41368,52072,50893,20670,16885,125,16760,3785,801,15959
Chapleau,54576,50774,61814,58514,18579,13486,148,13338,5093,1329,12009
Charlevoix-Saguenay,67087,58927,84908,74470,29480,21511,237,21274,7969,2620,18654
Châteauguay-Huntingdon,25369,16469,27476,18441,14099,10139,55,10084,3960,3549,6535
Chicoutimi,78881,75432,115904,111510,48152,35901,390,35511,12251,3189,32322
Compton,34552,27471,37500,31468,17520,13539,108,13431,3981,3636,9795
Dorchester,28949,27913,32098,31224,13669,10364,56,10308,3305,385,9923
Drummond-Arthabaska,66722,63600,90383,87367,34210,29922,230,29692,4288,2182,27510
Gaspé,57568,47969,65970,57067,26491,18628,210,18418,7863,3885,14533
Hochelaga,44767,40285,86024,76062,49068,36796,968,35828,12272,8832,26996
Hull,53738,47150,71884,61533,27520,20555,215,20340,6965,5209,15131
Jacques-Cartier,50613,29761,109325,46183,29761,22795,316,22479,6966,12473,10006
Joliette-L'Assomption-Montcalm,64065,61726,77556,74215,34112,26443,189,26254,7669,2732,23522
Kamouraska,32741,32603,33815,33095,16288,12006,108,11898,4282,435,11463
Labelle,38221,35749,42012,40857,19075,14496,145,14351,4579,1284,13067
Lac-Saint-Jean-Roberval,64306,62490,82006,78343,28089,22586,156,22430,5503,951,21479
Laurier,72494,38378,69145,41309,46723,34777,763,34014,11946,19239,14775
Laval-Deux-Montagnes,33498,30234,48444,42184,15793,12342,85,12257,3451,1420,10837
Lévis,30411,29617,34996,34206,17023,13410,200,13210,3613,1267,11943
Lotbinière,43738,42277,45019,43979,21176,15981,91,15890,5195,1040,14850
Maisonneuve-Rosemont,83971,59458,94871,58194,38728,30613,709,29904,8115,12609,17295
Matapédia-Matane,48184,46766,54677,53897,21195,15673,136,15537,5522,1463,14074
Mégantic-Frontenac,49429,47364,55025,53420,23325,19964,142,19822,3361,1395,18427
Mercier,74178,61145,163357,136002,40615,29637,570,29067,10978,7507,21560
Montmagny-L'Islet,33394,33097,38678,38533,17062,12651,127,12524,4411,722,11802
Montmorency,45605,43166,69577,66544,25162,20188,210,19978,4974,2172,17806
Mont-Royal,70066,14301,114571,31305,54235,44663,581,44082,9572,36196,7886
Nicolet-Yamaska,40749,40067,40886,40278,21276,16779,87,16692,4497,1139,15553
Outremont,78054,34201,70790,29079,35275,26574,836,25738,8701,15561,10177
Pontiac,73436,48438,100340,73388,43343,32667,463,32204,10676,9387,22817
Portneuf,42008,40443,47433,45692,20948,16899,154,16745,4049,936,15809
Québec-Est,71862,69119,71862,69119,39319,26932,387,26545,12387,3679,22866
Québec-Ouest-et-Sud,69064,65380,69064,65380,26092,20314,288,20026,5778,1816,18210
Québec-Sud,45811,38558,45811,38558,27358,21184,421,20763,6174,8455,12308
Richelieu-Verchères,37996,37378,47251,46293,24096,19436,141,19295,4660,4066,15229
Richmond-Wolfe,39545,33681,46588,40524,20124,16364,120,16244,3760,3131,13113
Rimouski,51454,50409,61487,60579,24768,18059,180,17879,6709,1284,16595
Saint-Antoine-Westmount,63313,15120,56864,15623,39587,30548,369,30179,9039,26067,4112
Saint-Denis,97851,82209,99580,68868,51345,37658,812,36846,13687,9247,27599
Saint-Henri,79343,62502,84469,67325,45865,32595,667,31928,13270,9851,22077
Saint-Hyacinthe-Bagot,49772,49167,58052,57073,27757,21779,159,21620,5978,2696,18924
Saint-Jacques,142543,117673,88528,73303,63113,43746,884,42862,19367,10155,32707
Saint-Jean-Iberville-Napierville,36383,34367,48434,44584,20510,16328,164,16164,4182,2362,13802
Saint-Laurent-Saint-Georges,35154,11272,39895,15730,34045,23678,417,23261,10367,18894,4367
Saint-Maurice-Laflèche,54134,50889,70424,66718,27701,24117,227,23890,3584,1984,21906
Sainte-Anne,35485,16127,37051,21195,22128,15146,313,14833,6982,8759,6074
Sainte-Marie,80127,72333,74674,69248,49843,30076,612,29464,19767,6022,23442
Shefford,33387,29290,43722,39150,18195,15095,138,14957,3100,2505,12452
Sherbrooke,46574,35388,62166,50356,27197,21533,280,21253,5664,6646,14607
Stanstead,27972,19543,34642,26305,15739,12158,115,12043,3581,4286,7757
Témiscouata,49871,49105,56672,56030,22684,17213,142,17071,5471,697,16374
Terrebonne,47263,43625,67857,62646,26689,21749,211,21538,4940,2543,18995
Trois-Rivières,52061,48863,57104,54257,28260,22346,237,22109,5914,2437,19672
Vaudreuil-Soulanges,22498,20214,26611,22746,12347,9007,71,8936,3340,1711,7225
Verdun,72050,31056,89024,43858,42010,33720,582,33138,8290,20885,12253
Wright,29754,20130,35264,24685,15845,9861,118,9743,5984,3863,5880
