NUMEROTATION,TYPE_DE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,"Soins physiques et psychiatriques de courte durée","01 Bas-Saint-Laurent",19066,9,3035,16,22,110,2,1,35,2,37,140,3,1,7,15,1,0,22502,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
2,"Soins physiques et psychiatriques de courte durée","02 Saguenay-Lac-Saint-Jean",8,27871,1420,16,16,166,3,6,41,2,2,19,1,10,6,15,0,1,29603,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
3,"Soins physiques et psychiatriques de courte durée","03 Capitale-Nationale",80,81,66236,162,53,224,5,6,75,4,19,495,5,12,18,53,3,1,67532,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
4,"Soins physiques et psychiatriques de courte durée","04 Mauricie et Centre-du-Québ",23,441,1981,48215,1704,1823,10,4,27,1,9,200,15,120,35,362,1,0,54971,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
5,"Soins physiques et psychiatriques de courte durée","05 Estrie",19,13,145,534,42228,1102,7,5,22,4,8,349,20,30,12,825,1,0,45324,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
6,"Soins physiques et psychiatriques de courte durée","06 Montréal",37,26,129,84,142,154300,28,10,15,3,18,23,1771,1564,388,1076,11,2,159627,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
7,"Soins physiques et psychiatriques de courte durée","07 Outaouais",11,6,53,27,60,1340,20776,32,5,0,0,6,19,14,301,75,0,1,22726,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
8,"Soins physiques et psychiatriques de courte durée","08 Abitibi-Témiscamingue",4,6,31,13,25,1396,25,13906,5,15,0,4,6,3,17,15,0,4,15475,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
9,"Soins physiques et psychiatriques de courte durée","09 Côte-Nord",65,319,2235,13,20,94,0,2,8416,0,10,10,0,4,5,6,0,0,11199,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
10,"Soins physiques et psychiatriques de courte durée","10-17 ET 18",0,241,117,9,11,2013,16,1023,1,1410,0,2,3,1,0,1,2582,353,7783,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
11,"Soins physiques et psychiatriques de courte durée","11 Gaspésie-Îles-de-la-Madele",601,1,2141,9,23,114,1,5,13,0,9254,28,1,8,4,13,1,0,12217,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
12,"Soins physiques et psychiatriques de courte durée","12 Chaudière-Appalaches",188,32,8368,151,319,130,1,2,31,1,11,30170,6,3,11,33,0,0,39457,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
13,"Soins physiques et psychiatriques de courte durée","13 Laval",8,4,38,20,30,14435,13,5,3,0,5,3,21347,259,853,91,1,0,37115,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
14,"Soins physiques et psychiatriques de courte durée","14 Lanaudière",21,11,92,312,53,9170,8,11,7,0,14,13,2035,35057,1784,184,2,0,48774,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
15,"Soins physiques et psychiatriques de courte durée","15 Laurentides",19,20,62,47,54,10718,104,41,18,2,19,16,4272,802,39993,159,2,0,56348,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
16,"Soins physiques et psychiatriques de courte durée","16 Montérégie",49,27,139,618,1534,26833,14,15,18,2,25,39,173,207,178,87140,3,0,117014,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
17,"Soins physiques et psychiatriques de courte durée","NON-ATTRIBUÉE",90,82,924,177,177,3988,156,58,60,4,50,57,115,58,109,339,1,0,6445,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
18,"Soins physiques et psychiatriques de courte durée","TOTAL RÉGION DE TRAITEMENT",20289,29190,87146,50423,46471,227956,21169,15132,8792,1450,9481,31574,29792,38153,43721,90402,2609,362,754112,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
19,"Soins en chirurgie d'un jour","01 Bas-Saint-Laurent",8357,2,895,6,8,60,17,0,2,0,12,286,0,4,3,12,0,0,9664,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
20,"Soins en chirurgie d'un jour","02 Saguenay-Lac-Saint-Jean",0,14723,681,3,16,65,2,5,14,1,3,26,4,2,4,5,0,0,15554,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
21,"Soins en chirurgie d'un jour","03 Capitale-Nationale",29,101,27535,96,26,212,3,4,34,0,8,933,4,6,17,38,0,0,29046,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
22,"Soins en chirurgie d'un jour","04 Mauricie et Centre-du-Québ",4,259,1041,20823,1037,935,2,3,1,0,2,197,12,75,37,760,0,0,25188,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
23,"Soins en chirurgie d'un jour","05 Estrie",4,5,89,363,22120,917,6,4,1,0,2,265,12,18,17,680,0,0,24503,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
24,"Soins en chirurgie d'un jour","06 Montréal",5,9,85,33,102,64283,22,6,4,1,7,8,595,709,358,1333,1,0,67561,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
25,"Soins en chirurgie d'un jour","07 Outaouais",1,4,27,10,14,667,14857,16,1,1,0,8,14,11,136,36,0,0,15803,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
26,"Soins en chirurgie d'un jour","08 Abitibi-Témiscamingue",0,4,14,8,5,478,79,6851,0,0,2,2,3,6,13,10,0,0,7475,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
27,"Soins en chirurgie d'un jour","09 Côte-Nord",28,234,457,3,5,31,0,0,4168,0,2,31,3,0,0,1,0,0,4963,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
28,"Soins en chirurgie d'un jour","10-17 ET 18",0,227,21,2,3,674,9,588,0,394,0,0,0,2,1,3,469,0,2393,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
29,"Soins en chirurgie d'un jour","11 Gaspésie-Îles-de-la-Madele",542,1,378,5,4,52,1,0,2,0,4097,26,0,4,2,10,0,0,5124,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
30,"Soins en chirurgie d'un jour","12 Chaudière-Appalaches",47,12,3347,91,199,122,1,1,1,0,3,17076,5,8,12,31,0,0,20956,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
31,"Soins en chirurgie d'un jour","13 Laval",1,1,16,7,18,8297,4,1,0,0,1,0,7620,130,647,171,0,0,16914,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
32,"Soins en chirurgie d'un jour","14 Lanaudière",1,6,50,105,24,6101,3,2,2,1,2,13,971,11918,1665,215,0,0,21079,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
33,"Soins en chirurgie d'un jour","15 Laurentides",2,4,39,16,28,6499,353,14,1,0,3,9,1744,347,17732,205,0,0,26996,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
34,"Soins en chirurgie d'un jour","16 Montérégie",7,17,78,339,1039,17374,16,3,2,0,4,20,104,102,178,41395,0,0,60678,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
35,"Soins en chirurgie d'un jour","NON-ATTRIBUÉE",56,14,187,18,43,610,27,6,3,0,28,16,11,3,13,37,1,0,1073,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
36,"Soins en chirurgie d'un jour","TOTAL RÉGION DE TRAITEMENT",9084,15623,34940,21928,24691,107377,15402,7504,4236,398,4176,18916,11102,13345,20835,44942,471,0,354970,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
37,"Soins post-mortem","01 Bas-Saint-Laurent",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
38,"Soins post-mortem","02 Saguenay-Lac-Saint-Jean",0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
39,"Soins post-mortem","03 Capitale-Nationale",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
40,"Soins post-mortem","04 Mauricie et Centre-du-Québ",0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
41,"Soins post-mortem","06 Montréal",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
42,"Soins post-mortem","07 Outaouais",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
43,"Soins post-mortem","08 Abitibi-Témiscamingue",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
44,"Soins post-mortem","09 Côte-Nord",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
45,"Soins post-mortem","10-17 ET 18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
46,"Soins post-mortem","11 Gaspésie-Îles-de-la-Madele",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
47,"Soins post-mortem","12 Chaudière-Appalaches",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
48,"Soins post-mortem","13 Laval",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
49,"Soins post-mortem","14 Lanaudière",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
50,"Soins post-mortem","15 Laurentides",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
51,"Soins post-mortem","16 Montérégie",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
52,"Soins post-mortem","NON-ATTRIBUÉE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
53,"Soins post-mortem","TOTAL RÉGION DE TRAITEMENT",0,10,23,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,115,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
