ï»¿Annee,Nombre_de_cotisants_avec_gains_de_travail,Nombre_de_cotisants_sans_gains_de_travail,Nombre_de_cotisants,Nombre_de_cotisantes_avec_gains_de_travail,Nombre_de_cotisantes_sans_gains_de_travail,Nombre_de_cotisantes,Nombre_de_cotisants_et_cotisantes_avec_gains_de_travail,Nombre_de_cotisants_et_cotisantes_sans_gain_de_travail,Nombre_de_cotisants_et_cotisantes
1966,1377252,354,1377606,549184,21732,570916,1926436,22086,1948522
1967,1429202,397,1429599,600052,23409,623461,2029254,23806,2053060
1968,1429869,451,1430320,624396,25298,649694,2054265,25749,2080014
1969,1453996,599,1454595,655782,28060,683842,2109778,28659,2138437
1970,1468402,651,1469053,683999,29878,713877,2152401,30529,2182930
1971,1495809,677,1496486,712595,32054,744649,2208404,32731,2241135
1972,1561619,787,1562406,763970,34382,798352,2325589,35169,2360758
1973,1617709,807,1618516,812972,36119,849091,2430681,36926,2467607
1974,1670422,823,1671245,872901,39142,912043,2543323,39965,2583288
1975,1707687,958,1708645,926395,41325,967720,2634082,42283,2676365
1976,1724734,1108,1725842,970355,42515,1012870,2695089,43623,2738712
1977,1728283,1364,1729647,992687,44339,1037026,2720970,45703,2766673
1978,1734670,1445,1736115,1025047,45829,1070876,2759717,47274,2806991
1979,1748425,1540,1749965,1053696,47063,1100759,2802121,48603,2850724
1980,1748580,1694,1750274,1082886,46194,1129080,2831466,47888,2879354
1981,1759589,1935,1761524,1121902,45785,1167687,2881491,47720,2929211
1982,1680337,2493,1682830,1084359,47071,1131430,2764696,49564,2814260
1983,1679459,2644,1682103,1094702,46294,1140996,2774161,48938,2823099
1984,1705530,2701,1708231,1135169,44103,1179272,2840699,46804,2887503
1985,1714927,2760,1717687,1156926,42244,1199170,2871853,45004,2916857
1986,1728325,2966,1731291,1188289,40184,1228473,2916614,43150,2959764
1987,1779676,3255,1782931,1255496,38231,1293727,3035172,41486,3076658
1988,1808100,3659,1811759,1311779,36819,1348598,3119879,40478,3160357
1989,1818277,3839,1822116,1348541,34770,1383311,3166818,38609,3205427
1990,1798104,3746,1801850,1364883,31953,1396836,3162987,35699,3198686
1991,1738433,3700,1742133,1340780,30117,1370897,3079213,33817,3113030
1992,1698063,3565,1701628,1324362,28323,1352685,3022425,31888,3054313
1993,1685306,3352,1688658,1320161,26917,1347078,3005467,30269,3035736
1994,1704435,3010,1707445,1330331,24878,1355209,3034766,27888,3062654
1995,1713389,2866,1716255,1347734,23291,1371025,3061123,26157,3087280
1996,1711578,2622,1714200,1349198,21530,1370728,3060776,24152,3084928
1997,1740084,2337,1742421,1381556,19218,1400774,3121640,21555,3143195
1998,1810005,3321,1813326,1436545,22890,1459435,3246550,26211,3272761
1999,1852479,3140,1855619,1497127,20251,1517378,3349606,23391,3372997
2000,1894675,3494,1898169,1559011,21766,1580777,3453686,25260,3478946
2001,1913451,3447,1916898,1593936,19392,1613328,3507387,22839,3530226
2002,1934861,3381,1938242,1634037,17304,1651341,3568898,20685,3589583
2003,1954674,3182,1957856,1665262,15674,1680936,3619936,18856,3638792
2004,1972468,3019,1975487,1691414,14180,1705594,3663882,17199,3681081
2005,1990031,2891,1992922,1718114,12791,1730905,3708145,15682,3723827
2006,2003037,2684,2005721,1746649,11466,1758115,3749686,14150,3763836
2007,2021576,2639,2024215,1781964,10111,1792075,3803540,12750,3816290
2008,2045120,2467,2047587,1806200,9026,1815226,3851320,11493,3862813
2009,2034235,2337,2036572,1815299,7875,1823174,3849534,10212,3859746
2010,2057321,2010,2059331,1838815,6827,1845642,3896136,8837,3904973
2011,2092983,1738,2094721,1874594,5754,1880348,3967577,7492,3975069
2012,2115863,1481,2117344,1900271,4776,1905047,4016134,6257,4022391
2013,2121767,1229,2122996,1914926,3886,1918812,4036693,5115,4041808
2014,2124791,974,2125765,1927394,2978,1930372,4052185,3952,4056137
2015,2123761,708,2124469,1931881,2078,1933959,4055642,2786,4058428
2016,2136129,463,2136592,1942001,1359,1943360,4078130,1822,4079952
2017,2173856,241,2174097,1973194,664,1973858,4147050,905,4147955
2018,2211663,86,2211749,2005541,192,2005733,4217204,278,4217482
